epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9362,2.06872,4.54927,2.00695,0.01071,0.64286,0.09671,0.05122,1.14681,4.08435,1.45404,5.831e-05,5.831e-05,5.831e-05
2,45.3108,1.60955,4.20295,1.6254,0.01517,0.71429,0.19269,0.10494,1.12933,4.11229,1.31757,0.00011258,0.00011258,0.00011258
3,66.4059,1.51741,4.19121,1.61543,0.00871,0.54286,0.23905,0.14789,1.15627,4.18765,1.39756,0.000153655,0.000153655,0.000153655
4,87.698,1.50998,3.77147,1.52496,0.00769,0.47143,0.21219,0.15895,1.1778,4.19732,1.4059,0.000181536,0.000181536,0.000181536
5,108.758,1.40678,3.61997,1.41014,0.00696,0.47143,0.25531,0.15745,1.09308,4.04831,1.27631,0.000196221,0.000196221,0.000196221
6,130.873,1.33288,3.31014,1.3782,0.00779,0.57143,0.29257,0.21072,1.06967,3.80139,1.1989,0.000197713,0.000197713,0.000197713
7,152.329,1.30075,3.39857,1.33101,0.00951,0.71429,0.33636,0.22996,1.07971,3.56082,1.18612,0.000186009,0.000186009,0.000186009
8,172.802,1.58646,3.12139,1.70563,0.71493,0.28571,0.36746,0.23979,1.09351,3.45535,1.1909,0.000161111,0.000161111,0.000161111
9,194.174,1.27782,2.93736,1.30516,0.94938,0.24637,0.47613,0.30292,1.1032,3.27153,1.18555,0.000123017,0.000123017,0.000123017
10,212.178,1.18523,3.10458,1.262,0.94429,0.25034,0.40918,0.32629,1.09926,3.17412,1.18465,7.17296e-05,7.17296e-05,7.17296e-05
