epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.1799,1.78813,4.54728,1.73579,0.00592,0.37103,0.1184,0.05752,1.20909,5.06419,1.48621,0.00019159,0.00019159,0.00019159
2,120.034,1.57421,3.95569,1.51057,0.00432,0.48135,0.18349,0.10353,1.50726,4.41289,1.19566,0.000352751,0.000352751,0.000352751
3,187.927,1.58334,3.42689,1.45461,0.87579,0.1625,0.35743,0.18943,1.63327,3.84442,1.33245,0.000474327,0.000474327,0.000474327
4,261.424,1.49225,3.11707,1.3975,0.79507,0.32939,0.44873,0.19106,1.70765,3.84514,1.41437,0.000556319,0.000556319,0.000556319
5,341.014,1.4378,2.80284,1.36653,0.79064,0.44537,0.55643,0.29937,1.66059,3.45958,1.38029,0.000503132,0.000503132,0.000503132
6,424.061,1.4109,2.59879,1.36601,0.69315,0.53484,0.64515,0.33817,1.59416,3.44273,1.33472,0.000420665,0.000420665,0.000420665
7,494.003,1.38352,2.43569,1.31187,0.78421,0.60502,0.66988,0.32424,1.7713,3.08144,1.43495,0.000338198,0.000338198,0.000338198
8,566.634,1.33799,2.33405,1.2985,0.81674,0.59145,0.69245,0.40154,1.68817,2.72265,1.39061,0.000255731,0.000255731,0.000255731
9,635.134,1.34057,2.22685,1.26178,0.83315,0.63888,0.72124,0.42307,1.72305,2.77245,1.39619,0.000173264,0.000173264,0.000173264
10,700.28,1.27086,2.11282,1.24974,0.71884,0.68794,0.73805,0.42288,1.76751,2.87527,1.4371,9.0797e-05,9.0797e-05,9.0797e-05
